slug,name,shortDescription,description,price,comparePrice,imageUrl,images,category,brand,weight,inStock,featured,badge
green-chilli-paste,Green Chilli Paste,Fresh and tangy green chilli paste - perfect condiment for every meal.,"Jarfull Green Chilli Paste is made from fresh green chilies with authentic spices. Perfect for adding flavor to dishes, dips, and sandwiches.",320,400,/assets/images/products/jarfull/green-chilli-paste.jpg,/assets/images/products/jarfull/green-chilli-paste.jpg,Condiments & Pastes,Jarfull,300g,True,False,Best Seller
mango-chutney,Mango Chutney,Sweet and tangy mango chutney with aromatic spices.,"Jarfull Mango Chutney is crafted from premium mangoes with a perfect blend of spices. Great with bread, rice, and curry dishes.",350,430,/assets/images/products/jarfull/mango-chutney.jpg,/assets/images/products/jarfull/mango-chutney.jpg,Condiments & Pastes,Jarfull,300g,True,True,Best Seller
mixed-pickle,Mixed Pickle,Traditional mixed vegetable pickle with authentic spices.,Jarfull Mixed Pickle brings together a harmonious blend of fresh vegetables preserved with traditional spices and vinegar.,280,350,/assets/images/products/jarfull/mixed-pickle.jpg,/assets/images/products/jarfull/mixed-pickle.jpg,Pickles & Preserved Foods,Jarfull,350g,True,False,
mixed-pickle-2,Mixed Pickle Premium,Premium selection of vegetables in a special blend of spices.,Jarfull Premium Mixed Pickle offers a selection of hand-picked vegetables in our signature spice blend.,320,400,/assets/images/products/jarfull/mixed-pickle-2.jpg,/assets/images/products/jarfull/mixed-pickle-2.jpg,Pickles & Preserved Foods,Jarfull,350g,True,False,
plum-chutney,Plum Chutney,Unique sweet plum chutney with a perfect balance of flavors.,Jarfull Plum Chutney is an innovative condiment made from premium plums with aromatic spices.,360,450,/assets/images/products/jarfull/plum-chutney.jpg,/assets/images/products/jarfull/plum-chutney.jpg,Condiments & Pastes,Jarfull,300g,True,False,
tomato-ketchup-green,Tomato Ketchup Green,Traditional green tomato ketchup with authentic taste.,Jarfull Green Tomato Ketchup is made from selected green tomatoes with a blend of spices and vinegar.,250,320,/assets/images/products/jarfull/tomato-ketchup-green.jpg,/assets/images/products/jarfull/tomato-ketchup-green.jpg,Condiments & Pastes,Jarfull,350g,True,False,
tomato-ketchup-red,Tomato Ketchup Red,Rich red tomato ketchup for family meals.,Jarfull Red Tomato Ketchup is prepared from the finest red tomatoes with no artificial preservatives.,270,340,/assets/images/products/jarfull/tomato-ketchup-red.jpg,/assets/images/products/jarfull/tomato-ketchup-red.jpg,Condiments & Pastes,Jarfull,350g,True,True,Popular
aamchoor-powder,Aamchoor Powder,Dry mango powder - authentic spice for Indian cooking.,"Jhat Hazam Aamchoor Powder is made from dried mango, providing authentic tangy flavor to your dishes.",420,520,/assets/images/products/jhat-hazam/aamchoor.jpg,/assets/images/products/jhat-hazam/aamchoor.jpg,Spices & Seasonings,Jhat Hazam,200g,True,False,
amrud-paste,Amrud Paste,Guava paste - sweet and aromatic condiment.,Jhat Hazam Amrud (Guava) Paste is a traditional preparation with natural sweetness.,350,430,/assets/images/products/jhat-hazam/amrud.jpg,/assets/images/products/jhat-hazam/amrud.jpg,Condiments & Pastes,Jhat Hazam,300g,True,False,
anaar-paste,Anaar Paste,Pomegranate paste - rich and flavorful.,Jhat Hazam Anaar (Pomegranate) Paste brings the authentic taste of pomegranate to your kitchen.,380,480,/assets/images/products/jhat-hazam/anaar.jpg,/assets/images/products/jhat-hazam/anaar.jpg,Condiments & Pastes,Jhat Hazam,300g,True,True,
cola-drink-syrup,Cola Drink Syrup,Traditional cola syrup for homemade beverages.,Jhat Hazam Cola Syrup is a traditional drink concentrate for refreshing beverages.,300,380,/assets/images/products/jhat-hazam/cola.jpg,/assets/images/products/jhat-hazam/cola.jpg,Beverages,Jhat Hazam,500ml,True,False,
imlee-paste,Imlee Paste,Tamarind paste - sour and delicious.,Jhat Hazam Imlee (Tamarind) Paste is prepared from premium tamarind fruit.,320,400,/assets/images/products/jhat-hazam/imlee.jpg,/assets/images/products/jhat-hazam/imlee.jpg,Condiments & Pastes,Jhat Hazam,300g,True,False,
barley-porridge-box,Barley Porridge Box,Nutritious barley porridge in convenient box packaging.,Kuvvet Barley Porridge provides complete nutrition in a convenient box. Ready to cook in minutes.,550,680,/assets/images/products/kuvvet/barley-porridge-box.jpg,/assets/images/products/kuvvet/barley-porridge-box.jpg,Breakfast Cereals,Kuvvet,400g,True,True,Best Seller
barley-porridge-pouch,Barley Porridge Pouch,Convenient pouch porridge - great for on-the-go.,Kuvvet Barley Porridge in a pouch offers ultimate convenience for busy mornings.,520,650,/assets/images/products/kuvvet/barley-porridge-pouch.jpg,/assets/images/products/kuvvet/barley-porridge-pouch.jpg,Breakfast Cereals,Kuvvet,350g,True,False,
berry-rocks-cereal,Berry Rocks Cereal,Crunchy cereal with berry flavor and fruit pieces.,Kuvvet Berry Rocks are crunchy cereal pieces loaded with real berry flavor.,480,600,/assets/images/products/kuvvet/berry-rocks.jpg,/assets/images/products/kuvvet/berry-rocks.jpg,Breakfast Cereals,Kuvvet,300g,True,False,
choco-rocks-cereal,Choco Rocks Cereal,Delicious chocolate flavored crunchy cereal.,Kuvvet Choco Rocks deliver the perfect combination of crunch and chocolate goodness.,500,620,/assets/images/products/kuvvet/choco-rocks.jpg,/assets/images/products/kuvvet/choco-rocks.jpg,Breakfast Cereals,Kuvvet,300g,True,True,
choco-shells-500g,Choco Shells 500g,Chocolate shell shaped cereal - family size.,Kuvvet Choco Shells in 500g size are perfect for families who love chocolate cereal.,560,700,/assets/images/products/kuvvet/choco-shells-500g.jpg,/assets/images/products/kuvvet/choco-shells-500g.jpg,Breakfast Cereals,Kuvvet,500g,True,False,
choco-vanilla-assorted,Choco Vanilla Assorted,Mix of chocolate and vanilla flavored cereal.,Kuvvet Choco Vanilla Assorted brings together the best of both flavors in one box.,520,650,/assets/images/products/kuvvet/choco-vanilla-assorted.jpg,/assets/images/products/kuvvet/choco-vanilla-assorted.jpg,Breakfast Cereals,Kuvvet,400g,True,False,
frosted-flakes-250g,Frosted Flakes 250g,Classic frosted corn flakes - crispy and delicious.,"Kuvvet Frosted Flakes are light, crispy corn flakes with a touch of sweetness.",380,480,/assets/images/products/kuvvet/frosted-flakes-250g.webp,/assets/images/products/kuvvet/frosted-flakes-250g.webp,Breakfast Cereals,Kuvvet,250g,True,False,
prime-flakes-500g,Prime Flakes 500g,Premium flakes cereal in larger size.,Kuvvet Prime Flakes are high-quality cereal flakes offering great value.,520,650,/assets/images/products/kuvvet/prime-flakes-500g.webp,/assets/images/products/kuvvet/prime-flakes-500g.webp,Breakfast Cereals,Kuvvet,500g,True,False,
wheat-porridge-box,Wheat Porridge Box,Wholesome wheat porridge with complete nutrition.,Kuvvet Wheat Porridge provides essential nutrients for a healthy breakfast.,480,600,/assets/images/products/kuvvet/wheat-porridge-box.jpg,/assets/images/products/kuvvet/wheat-porridge-box.jpg,Breakfast Cereals,Kuvvet,400g,True,True,
wheat-porridge,Wheat Porridge,Nutritious wheat porridge for healthy mornings.,Kuvvet Wheat Porridge is made from premium wheat grains.,450,560,/assets/images/products/kuvvet/wheat-porridge.jpg,/assets/images/products/kuvvet/wheat-porridge.jpg,Breakfast Cereals,Kuvvet,350g,True,False,
choco-stars-cereal,Choco Stars,Star-shaped chocolate flavored cereal.,Liffest Choco Stars are fun star-shaped cereal pieces with rich chocolate flavor.,420,520,/assets/images/products/liffest/choco stars.webp,/assets/images/products/liffest/choco stars.webp,Breakfast Cereals,Liffest,300g,True,False,
choco-balls-450g,Choco Balls 450g,Delicious chocolate balls cereal - family pack.,Liffest Choco Balls in 450g size provide a great value option for chocolate cereal lovers.,480,600,/assets/images/products/liffest/choco-balls-450g.webp,/assets/images/products/liffest/choco-balls-450g.webp,Breakfast Cereals,Liffest,450g,True,True,
choco-loops-100g,Choco Loops 100g,Chocolate loop cereal in travel size.,Liffest Choco Loops in 100g size are perfect for snacking on the go.,180,220,/assets/images/products/liffest/choco-loops-100g.webp,/assets/images/products/liffest/choco-loops-100g.webp,Breakfast Cereals,Liffest,100g,True,False,
choco-loops-250g,Choco Loops 250g,Chocolate loop cereal - medium pack.,Liffest Choco Loops are delicious O-shaped cereal with chocolate coating.,340,420,/assets/images/products/liffest/choco-loops-250g.webp,/assets/images/products/liffest/choco-loops-250g.webp,Breakfast Cereals,Liffest,250g,True,True,
choco-shells-100g,Choco Shells 100g,Chocolate shell cereal in small size.,Liffest Choco Shells in 100g size are perfect for trying or traveling.,200,250,/assets/images/products/liffest/choco-shells-100g.webp,/assets/images/products/liffest/choco-shells-100g.webp,Breakfast Cereals,Liffest,100g,True,False,
choco-shells-150g,Choco Shells 150g,Chocolate shell cereal - handy size.,Liffest Choco Shells are crunchy shell-shaped cereal pieces with chocolate flavor.,260,320,/assets/images/products/liffest/choco-shells-150g.webp,/assets/images/products/liffest/choco-shells-150g.webp,Breakfast Cereals,Liffest,150g,True,False,
major-choco-balls,Major Grains Choco Balls,Premium chocolate ball cereal from Major Grains.,Major Grains Choco Balls offer superior quality and taste.,520,650,/assets/images/products/major-grains/choco-balls-new.webp,/assets/images/products/major-grains/choco-balls-new.webp,Breakfast Cereals,Major Grains,350g,True,False,
major-choco-loops,Major Grains Choco Loops,Premium chocolate loops cereal.,Major Grains Choco Loops are crafted with premium ingredients.,480,600,/assets/images/products/major-grains/choco-loops-new.webp,/assets/images/products/major-grains/choco-loops-new.webp,Breakfast Cereals,Major Grains,350g,True,False,
major-choco-shells,Major Grains Choco Shells,Premium chocolate shell cereal.,Major Grains Choco Shells deliver excellent crunch and flavor.,500,620,/assets/images/products/major-grains/choco-shells-new.webp,/assets/images/products/major-grains/choco-shells-new.webp,Breakfast Cereals,Major Grains,350g,True,True,
major-moons-stars,Major Grains Moons & Stars,Fun shaped cereal with moons and stars.,Major Grains Moons & Stars are playful shaped cereal pieces perfect for families.,460,580,/assets/images/products/major-grains/moons-and-stars-new.webp,/assets/images/products/major-grains/moons-and-stars-new.webp,Breakfast Cereals,Major Grains,350g,True,False,
niwala-budget-everyday,Niwala Budget Everyday Rice 1kg,Affordable daily use rice - great value.,Niwala Budget Everyday is perfect for daily consumption with good quality.,620,750,/assets/images/products/niwala/budget-everyday-1kg.jpg,/assets/images/products/niwala/budget-everyday-1kg.jpg,Rice & Grains,Niwala,1kg,True,False,
niwala-daily-sella,Niwala Daily Sella Rice 1kg,Premium sella rice for daily use.,Niwala Daily Sella is quality rice with long grains.,750,900,/assets/images/products/niwala/daily-sella-1kg.jpg,/assets/images/products/niwala/daily-sella-1kg.jpg,Rice & Grains,Niwala,1kg,True,False,
niwala-golden-daal-chana,Golden Daal Chana Mix,Lentil and chickpea mix - protein rich.,Niwala Golden Daal Chana is a nutritious blend of lentils and chickpeas.,520,650,/assets/images/products/niwala/golden-daal-chana.webp,/assets/images/products/niwala/golden-daal-chana.webp,Pulses & Legumes,Niwala,400g,True,True,
niwala-golden-daal-masoor,Golden Daal Masoor,Red lentils - quick cooking and nutritious.,Niwala Golden Daal Masoor provides essential protein and fiber.,480,600,/assets/images/products/niwala/golden-daal-masoor.webp,/assets/images/products/niwala/golden-daal-masoor.webp,Pulses & Legumes,Niwala,400g,True,False,
niwala-golden-daal-mong,Golden Daal Mong,Mung beans - mild flavor and easy to cook.,Niwala Golden Daal Mong is a staple pulse for healthy meals.,500,620,/assets/images/products/niwala/golden-daal-mong.webp,/assets/images/products/niwala/golden-daal-mong.webp,Pulses & Legumes,Niwala,400g,True,False,
niwala-golden-kabuli-channa,Golden Kabuli Channa,Chickpeas - versatile legume for curries and salads.,Niwala Golden Kabuli Channa are premium chickpeas with great taste.,540,680,/assets/images/products/niwala/golden-kabuli-channa.webp,/assets/images/products/niwala/golden-kabuli-channa.webp,Pulses & Legumes,Niwala,400g,True,False,
niwala-golden-sella,Niwala Golden Sella Rice 1kg,Premium golden sella rice.,Niwala Golden Sella offers superior quality long grain rice.,820,1000,/assets/images/products/niwala/golden-sella-1kg.jpg,/assets/images/products/niwala/golden-sella-1kg.jpg,Rice & Grains,Niwala,1kg,True,True,
niwala-royal-kainat,Niwala Royal Kainat Rice 1kg,Premium basmati rice - royal quality.,Niwala Royal Kainat is our finest basmati rice selection.,1200,1500,/assets/images/products/niwala/royal-kainat-1kg.jpg,/assets/images/products/niwala/royal-kainat-1kg.jpg,Rice & Grains,Niwala,1kg,True,True,Premium
riverdale-apple-jam,Riverdale Apple Jam,Fresh apple jam - naturally sweet.,Riverdale Apple Jam is made from fresh apples with no artificial preservatives.,380,480,/assets/images/products/riverdale/apple-jam.jpg,/assets/images/products/riverdale/apple-jam.jpg,Jams & Spreads,Riverdale,350g,True,False,
riverdale-mango-jam,Riverdale Mango Jam,Delicious mango jam - favorite breakfast spread.,Riverdale Mango Jam brings the taste of fresh mangoes in every spoonful.,420,520,/assets/images/products/riverdale/mango-jam.jpg,/assets/images/products/riverdale/mango-jam.jpg,Jams & Spreads,Riverdale,350g,True,True,Best Seller
riverdale-peach-jam,Riverdale Peach Jam,Smooth peach jam with natural flavor.,Riverdale Peach Jam offers a delightful fruity spread for your breakfast.,410,510,/assets/images/products/riverdale/peach-jam.jpg,/assets/images/products/riverdale/peach-jam.jpg,Jams & Spreads,Riverdale,350g,True,False,
riverdale-tropical-tango,Riverdale Tropical Tango,Exotic tropical fruit jam blend.,Riverdale Tropical Tango brings together flavors of tropical fruits.,450,560,/assets/images/products/riverdale/tropical-tango.jpg,/assets/images/products/riverdale/tropical-tango.jpg,Jams & Spreads,Riverdale,350g,True,True,
